operation_id,created_at,amount,bank,card_brand,payment_system,status,latency_sec
op_1,2026-07-29T08:00:00+03:00,12000,alfa,,solo,approved,76
op_2,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_3,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_4,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_5,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_6,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_7,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_8,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_9,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_10,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_11,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_12,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_13,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_14,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_15,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_16,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_17,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_18,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_19,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_20,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_21,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_22,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_23,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_24,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_25,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_26,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_27,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_28,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_29,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_30,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_31,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_32,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_33,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_34,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_35,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_36,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_37,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_38,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_39,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_40,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_41,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,approved,76
op_42,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,rejected,76
op_43,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,rejected,76
op_44,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,rejected,76
op_45,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,rejected,76
op_46,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,rejected,76
op_47,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,rejected,76
op_48,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,rejected,76
op_49,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,rejected,76
op_50,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,rejected,76
op_51,2026-07-29T08:00:00+03:00,12000,alfa,,bulkhigh,rejected,76
op_52,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,approved,76
op_53,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,approved,76
op_54,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,approved,76
op_55,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,approved,76
op_56,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,approved,76
op_57,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,approved,76
op_58,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,approved,76
op_59,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,approved,76
op_60,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,approved,76
op_61,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,approved,76
op_62,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_63,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_64,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_65,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_66,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_67,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_68,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_69,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_70,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_71,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_72,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_73,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_74,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_75,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_76,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_77,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_78,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_79,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_80,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_81,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_82,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_83,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_84,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_85,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_86,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_87,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_88,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_89,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_90,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_91,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_92,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_93,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_94,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_95,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_96,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_97,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_98,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_99,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_100,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
op_101,2026-07-29T08:00:00+03:00,12000,alfa,,bulklow,rejected,76
